Participant,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4
30,1,64,fill,684.1,505.70000000000005,600.9,451.1,I stayed at,the most luxurious,hotel,in Berlin.
30,2,1,exp,801.2,353.5,394.6,655.5,Every,beach,looked beautiful,in Spain.
30,3,71,fill,389.79999999999995,353.4,301,318.40000000000003,I was staying in,the most modern,appartment block,in Shanghai.
30,4,19,exp,842.5,317.59999999999997,329.79999999999995,403.1,Every,hike,in China,looked scenic.
30,5,106,fill,688.6999999999999,503.8,424.9,401.3,I did,the most difficult,trek,in Brazil.
30,6,35,exp,694.2,383.90000000000003,400.9,409.4,Every,palace,in Sweden,looked opulent.
30,7,44,exp,368.9,362.4,701.0999999999999,458.5,Every,sight,seemed picture-perfect,on the app.
30,8,113,fill,400.8,342,334.4,338.1,I got to explore,the most convoluted,caves,in Spain.
30,9,26,exp,617.4,611.7,522.5,555.1,Every,bar,in the brochure,seemed lively.
30,10,78,fill,335.9,308.5,309.09999999999997,344.1,I drank from,the most well-known,fountain,in Bern.
30,11,98,fill,884.1999999999999,310.40000000000003,312.59999999999997,468,I was staying near,the oldest,university,in The Netherlands.
30,12,66,fill,401.4,501.4,442.59999999999997,419.59999999999997,I got to see,the greenest,park,in Brussels.
30,13,14,exp,556.9,417.4,378,484.3,Every,tour,on the app,seemed relaxing.
30,14,69,fill,472.5,551.6999999999999,378.3,501.09999999999997,I was able to take photos of,the rarest,bird,in Aberdeen.
30,15,24,exp,393.8,342.6,427.09999999999997,143,Every,getaway,seemed romantic,on the app.
30,16,95,fill,355.9,322.5,307.09999999999997,334.8,I went to,the very first,pub,in England.
30,17,9,exp,377.59999999999997,358.59999999999997,351.3,408.6,Every,view,looked breathtaking,in Japan.
30,18,88,fill,351.6,285.6,317.90000000000003,394.1,I got to stay in,the least well-known,area,in Swansea.
30,19,51,exp,325.29999999999995,356.3,377.2,367.4,Every,brewery,in Canada,looked exclusive.
30,20,82,fill,574.1,486.5,425.3,441.59999999999997,I swam in,the largest,swimming pool,in Tokyo.
30,21,90,fill,585.2,501.6,477.7,500.8,I ate,the nicest,cheese,in Johannesburgh.
30,22,33,exp,1972.5,667.5,562.3000000000001,556.4,Every,zoo,looked responsible,in Thailand.
30,23,108,fill,757.9,437.59999999999997,455.40000000000003,503.29999999999995,I ordered,the most alcoholic,cocktail,in Switzerland.
30,24,16,exp,418.3,352.4,394,467.4,Every,gallery,seemed high-end,in the brochure.
30,25,55,exp,488.09999999999997,400.7,385.7,410,Every,forest,in Austria,looked sprawling.
30,26,79,fill,337.4,340.4,302.8,303,I tried,the best,ice-cream,in Athens.
30,27,104,fill,269.5,222.20000000000002,234.9,304.59999999999997,I got a room at,the fanciest,boutique hotel,in Australia.
30,28,117,fill,572,268,292.8,334.4,I went to a gig by,the most famous,band,in Ireland.
30,29,105,fill,567.2,537.4,510,552.4,I went down,the fastest,waterslide,in Sweden.
30,30,39,exp,635.9,221.4,284.7,734.5,Every,lake,in Australia,looked pristine.
30,31,70,fill,393.8,344.9,434.09999999999997,390.79999999999995,I ate at,the poshest,restaurant,in Helsinki.
30,32,40,exp,401.1,401,388.29999999999995,407.1,Every,garden,seemed colourful,in the blog.
30,33,94,fill,450.7,721.5,518,553.6,I paraglided over,the most beautiful,spot,in Germany.
30,34,5,exp,667.4,567.9,543,578.0999999999999,Every,market,looked exciting,in Scotland.
30,35,11,exp,333.2,307.7,343.1,653.5,Every,village,in Slovenia,looked quaint.
30,36,29,exp,373.2,303.9,467.7,342.8,Every,shop,looked trendy,in Hungary.
